,fetal_skin_n,fetal_skin_p,fetal_skin_l,organoid_n,organoid_p,organoid_l
2298,PREB,0.0,0.6967239,MTX3,0.0,0.9272032
2299,CLEC5A,0.0,5.5221477,SEMA3D,0.0,0.6291991
2300,SLC25A6,0.0,0.20142458,POF1B,0.0,3.9562871
2301,HIST1H2BH,0.0,1.5242622,LCA5,0.0,0.786094
2302,NDEL1,0.0,0.6371652,CYP1B1-AS1,0.0,2.2547865
2303,CCDC71,0.0,0.9672391,TNPO1,0.0,0.43369517
2304,GSAP,0.0,2.4166987,KMT2C,0.0,0.42995086
2305,CDCA7,0.0,0.76503336,HADHB,0.0,0.34593967
2306,CMTM3,0.0,0.46534792,RAB12,0.0,1.4392331
2307,METTL7B,0.0,4.4010954,SP6,0.0,3.8061006
2308,PIK3R6,0.0,5.3935843,NDST3,0.0,1.9243857
2309,VWF,0.0,4.3261905,CCP110,0.0,0.7142322
2310,IRAK3,0.0,1.0844746,KATNBL1,0.0,0.41657284
2311,NPR1,0.0,3.4013305,PCDH10,0.0,1.740172
2312,HIST1H2AE,0.0,1.4898919,PLPP5,0.0,0.47924548
2313,STRA6,0.0,1.2534062,ELP2,0.0,0.47687423
2314,CDH18,0.0,1.9554665,MTMR9,0.0,0.7291828
2315,IRAK4,0.0,1.0243825,CDC27,0.0,0.5022934
2316,TAL1,0.0,4.8475556,FBXL17,0.0,0.9566867
2317,NEURL1B,0.0,1.6649015,KLF16,0.0,1.0602622
2318,HIST2H2AB,0.0,3.3909247,CLPX,0.0,0.5288185
2319,MMRN1,0.0,4.948808,SAMD4B,0.0,0.53042585
2320,SMG5,0.0,1.0083916,RHBDL1,0.0,2.296241
2321,HENMT1,0.0,0.96969926,SLC39A14,0.0,1.2250872
2322,CHRNA1,0.0,2.6645198,TMEM251,0.0,0.70129836
2323,MPST,0.0,0.42924407,EIF1AX,0.0,0.27298266
2324,TSPAN14,0.0,0.57483304,ZNF598,0.0,0.9910226
2325,TBC1D17,0.0,0.7243903,EEF1A2,0.0,4.7813697
2326,TRPT1,0.0,0.62947154,MFN1,0.0,0.66885006
2327,S1PR5,0.0,3.0441246,SLC35E1,0.0,0.766698
2328,ZDHHC6,0.0,0.7013895,C1orf216,0.0,0.8181515
2329,THBD,0.0,1.0221188,AAED1,0.0,0.81059736
2330,RCE1,0.0,0.77149314,STX19,0.0,4.393702
2331,TMEM206,0.0,0.95028174,SLAIN2,0.0,0.55881935
2332,CCNB2,0.0,1.0334649,DHRS4L2,0.0,0.55757177
2333,THEMIS,0.0,4.434923,ITGA6,0.0,0.90257484
2334,CFI,0.0,2.8371031,NIFK,0.0,0.39515236
2335,HCFC1R1,0.0,0.39086378,IFI44,0.0,0.729645
2336,ODF2,0.0,0.73451203,PKD1,0.0,0.6771313
2337,ESYT1,0.0,0.72844565,LANCL1,0.0,0.6827739
2338,TNFRSF25,0.0,1.2574676,APPL2,0.0,0.70016646
2339,AC113404.1,0.0,6.0813255,SH3GL3,0.0,0.91332084
2340,IGFN1,0.0,2.985831,UTP3,0.0,0.6486849
2341,ISM1,0.0,1.1859238,TMEM97,0.0,0.50907
2342,CTSG,0.0,9.153505,TRAPPC4,0.0,0.45487747
2343,TULP1,0.0,2.9447343,MANEAL,0.0,2.5675282
2344,LILRA1,0.0,23.444794,ZCCHC17,0.0,0.45722222
2345,GAL,0.0,3.08361,BBS5,0.0,1.5602965
2346,C16orf89,0.0,1.708448,ZNF519,0.0,0.98112446
2347,CDCA5,0.0,1.2655507,RCOR3,0.0,0.55007744
2348,TBP,0.0,0.88501877,CRYBB2,0.0,1.9559164
2349,EPS15L1,0.0,0.77430224,SLC25A42,0.0,1.0766113
2350,GLYCTK,0.0,1.5627334,ISY1,0.0,0.65713674
2351,ACOT7,0.0,0.79041874,ZMYM1,0.0,0.7469273
2352,BANK1,0.0,2.6157472,GPR135,0.0,2.3049893
2353,DPH3,0.0,0.576181,CFAP70,0.0,2.2023153
2354,SLC38A7,0.0,1.1637741,ANAPC16,0.0,0.27667862
2355,PDE4A,0.0,1.3369621,TTC32,0.0,0.86874926
2356,IQCJ-SCHIP1,0.0,23.291304,DENND2C,0.0,1.3326176
2357,SEMA4D,0.0,1.4104457,SLC36A4,0.0,0.7630151
2358,NCAPH,0.0,1.4478784,BHLHE22,0.0,2.984571
2359,LUC7L,0.0,0.48128873,ARHGEF16,0.0,3.0113132
2360,TBX18,0.0,0.86432195,IP6K2,0.0,0.37059596
2361,REEP4,0.0,0.8556809,ATF7IP,0.0,0.50720125
2362,SLC25A19,0.0,1.363336,KLF8,0.0,1.5487561
2363,RARRES1,0.0,1.7201886,SMAD6,0.0,1.4741805
2364,SIGLEC10,0.0,3.5927458,PHACTR4,0.0,0.54854065
2365,TALDO1,0.0,0.32025138,C8orf33,0.0,0.5124792
2366,APOD,0.0,0.9554611,C16orf45,0.0,0.5665022
2367,TIGIT,0.0,6.72853,SDHD,0.0,0.40436003
2368,ARMC6,0.0,0.82913834,PAICS,0.0,0.4175778
2369,RPL31,0.0,0.2372802,GABPB2,0.0,0.9368077
2370,LGALS2,0.0,3.638815,SCFD1,0.0,0.41902918
2371,CRYL1,0.0,0.48661807,KRT1,0.0,1.7434945
2372,MYO16,0.0,3.1369042,COMMD6,0.0,0.19026949
2373,IKZF3,0.0,2.9111497,SOX2,0.0,1.0497864
2374,AC016549.1,0.0,23.216803,TNRC6A,0.0,0.54211557
2375,RAP1A,0.0,0.41474983,KRIT1,0.0,0.5094428
2376,RHOT2,0.0,0.6037378,CYP46A1,0.0,1.4662501
2377,ITGB7,0.0,1.945558,SLC16A1,0.0,0.62801415
2378,MOXD1,0.0,0.9021124,METTL16,0.0,0.6774536
2379,ARL5B,0.0,0.49883378,MAGI3,0.0,0.99532247
2380,RASSF3,0.0,1.1206537,HPS4,0.0,0.62646306
2381,MANBA,0.0,0.8652577,FAM20C,0.0,0.8658646
2382,KDM5C,0.0,0.7276309,XPO1,0.0,0.36078933
2383,UBASH3B,0.0,1.4975919,C2orf49,0.0,0.6364984
2384,RAB8B,0.0,0.50781316,FMR1,0.0,0.6822556
2385,POPDC3,0.0,3.3325298,GTF3C4,0.0,0.774321
2386,DEPTOR,0.0,1.1779528,KIF16B,0.0,0.760994
2387,STYXL1,0.0,0.74040747,AQP5,0.0,4.881914
2388,MIS18BP1,0.0,0.60510045,MYCN,0.0,1.7780148
2389,P2RX4,0.0,0.8111018,BMP2,0.0,1.0291189
2390,FTH1,0.0,0.18374276,RAVER2,0.0,1.0922297
2391,KMO,0.0,5.586365,UBE2V2,0.0,0.34880832
2392,TPK1,0.0,1.4953321,TMEM101,0.0,0.44713
2393,FAM69A,0.0,1.1226434,HEXIM2,0.0,0.8914956
2394,TIMP4,0.0,2.0627308,PSMA3-AS1,0.0,0.45924878
2395,DUT,0.0,0.33160514,IFT88,0.0,0.63901
2396,MCM7,0.0,0.60623455,RBM28,0.0,0.5925316
2397,FGL1,0.0,6.45092,WAC-AS1,0.0,0.6751479
2398,HMCN2,0.0,4.9175496,ARID4A,0.0,0.45905274
2399,CYFIP2,0.0,1.0139189,FDXR,0.0,1.0167186
2400,C20orf27,0.0,0.45884493,THOC7,0.0,0.36907795
2401,C4orf36,0.0,2.5535352,ACAT2,0.0,0.49666318
2402,BIRC5,0.0,0.9570496,RGS3,0.0,0.5282831
2403,KCNA5,0.0,1.7128117,ARIH1,0.0,0.46695235
2404,CD19,0.0,5.044782,ZNF75A,0.0,0.6811008
2405,SIRPB2,0.0,4.3735113,MSI2,0.0,0.654151
2406,FOXS1,0.0,1.8511336,ANOS1,0.0,0.96340066
2407,PHACTR2,0.0,0.59986645,SRFBP1,0.0,0.5773724
2408,UBE2T,0.0,0.776195,RALBP1,0.0,0.40684813
2409,CCDC184,0.0,1.416365,CEP70,0.0,0.82574815
2410,ITPR2,0.0,0.71389323,NOTUM,0.0,2.0614958
2411,PSMB3,0.0,0.3130914,TMEM223,0.0,0.46880248
2412,EIF4EBP1,0.0,0.37098876,ZNF532,0.0,0.58942425
2413,SPC25,0.0,1.2094903,KLHL23,0.0,0.64313364
2414,H2AFY,0.0,0.36887297,TYW3,0.0,0.47788203
2415,ZNF749,0.0,1.9565599,USP12,0.0,0.82048476
2416,HOXA5,0.0,2.447439,SCAPER,0.0,0.61384624
2417,NLRC5,0.0,2.6383257,CWH43,0.0,8.573075
2418,PADI2,0.0,4.1957154,RBFOX3,0.0,2.5867255
2419,STARD13,0.0,0.91190934,SUCO,0.0,0.48435777
2420,STAC3,0.0,1.753167,TUBGCP4,0.0,0.7253963
2421,BAZ1A,0.0,0.45001802,CMTM4,0.0,1.2544316
2422,SETD9,0.0,0.9347753,CDK3,0.0,5.0924783
2423,ZNF736,0.0,1.3738282,INSIG2,0.0,0.5341192
2424,GTF2E2,0.0,0.5557204,EVI5,0.0,0.5271948
2425,HEG1,0.0,0.95573366,ZNF33B,0.0,0.8466177
2426,PARD6G-AS1,0.0,1.7653875,TTR,0.0,2.7230725
2427,CNTN4,0.0,0.94060546,LMX1B,0.0,2.831688
2428,DTX3L,0.0,1.293764,LENG9,0.0,1.4602445
2429,EDEM2,0.0,0.888691,ZNF112,0.0,1.668605
2430,LINC00891,0.0,2.750354,CIC,0.0,0.65408695
2431,OGDH,0.0,0.73901,MACF1,0.0,0.3856203
2432,OLFML2B,0.0,0.62546355,PSMD7,0.0,0.3312207
2433,SOAT1,0.0,0.96115386,MATN1,0.0,2.758918
2434,PRRC2A,0.0,0.4853316,SLITRK5,0.0,1.1236848
2435,PRSS21,0.0,9.335339,SNX24,0.0,0.7306305
2436,SRI,0.0,0.333883,GLS,0.0,0.47219172
2437,ZNFX1,0.0,0.85865885,PPP1R3E,0.0,1.0955989
2438,FASLG,0.0,9.828767,ZNF711,0.0,0.633947
2439,SPC24,0.0,1.3155725,BCL9L,0.0,0.7743552
2440,PTPRS,0.0,0.680054,TATDN1,0.0,0.41550794
2441,LRRC39,0.0,2.6334448,GNAQ,0.0,0.52328235
2442,CD300LF,0.0,10.947133,WDR3,0.0,0.73519427
2443,MYLK,0.0,0.9408676,EXOG,0.0,0.8077695
2444,CRMP1,0.0,0.8138632,ZBTB8A,0.0,0.81452596
2445,FASTKD1,0.0,1.186136,LRBA,0.0,0.72845924
2446,EBI3,0.0,4.850607,RARS,0.0,0.4477648
2447,ZNF350-AS1,0.0,3.9605682,LSR,0.0,1.1283906
2448,ITPKB,0.0,0.9367391,CAMSAP1,0.0,0.92772645
2449,COMMD10,0.0,0.5264334,MEIS1,0.0,0.6880516
2450,ANTXR1,0.0,0.45361862,RABGAP1,0.0,0.53132594
2451,MX1,0.0,1.490817,PCF11,0.0,0.41138422
2452,OAS3,0.0,1.6420363,FBXW4,0.0,0.9535944
2453,NDST1,0.0,0.87911516,PGRMC1,0.0,0.27458254
2454,GALNT2,0.0,0.6154254,AGAP1,0.0,0.6849767
2455,RSRC2,0.0,0.30407992,CLUAP1,0.0,0.56006753
2456,PYCR1,0.0,0.4134931,VWC2,0.0,2.531826
2457,VNN1,0.0,6.445862,MAP6,0.0,2.2942533
2458,WDR91,0.0,1.0867223,GAL3ST3,0.0,3.5983868
2459,HCFC1,0.0,0.7291632,NFYB,0.0,0.4935119
2460,CISD3,0.0,0.6037023,SIX3,0.0,5.5159125
2461,DUSP5,0.0,0.88728625,CATSPER2,0.0,1.561659
2462,SORL1,0.0,0.9339109,TAS2R4,0.0,2.401461
2463,PARM1,0.0,1.1433647,LRFN4,0.0,1.2104697
2464,TXNDC12,0.0,0.42078814,RIPK4,0.0,2.3528972
2465,TMEM50B,0.0,0.50906503,TSPAN10,0.0,1.4989592
2466,SURF4,0.0,0.37517065,LUZP1,0.0,0.47046745
2467,FLII,0.0,0.60211253,SND1-IT1,0.0,1.0903288
2468,CCNT1,0.0,0.65847087,RERG,0.0,0.7820325
2469,PTX3,0.0,0.5718814,SPRED1,0.0,0.449723
2470,PPP1R9B,0.0,0.85673463,MYO1D,0.0,1.4455181
2471,APOBEC3G,0.0,1.0465009,SLC16A9,0.0,0.9956457
2472,TAF9B,0.0,0.7955099,FEM1B,0.0,0.5669818
2473,NBPF20,0.0,1.8024802,MAGEH1,0.0,0.38833323
2474,PQLC2,0.0,1.0134366,MRPS6,0.0,0.34652874
2475,PEX11B,0.0,0.7492848,ZNF688,0.0,0.82373405
2476,TMEFF2,0.0,1.3962182,RUFY1,0.0,0.60568595
2477,SPAG5,0.0,1.2639819,P4HA3,0.0,1.4171091
2478,DUSP11,0.0,0.55232793,RBMX2,0.0,0.48035333
2479,PI4KA,0.0,0.8345664,ESRRA,0.0,1.0500215
2480,RUBCN,0.0,1.1662282,CREB1,0.0,0.43894696
2481,ALPK3,0.0,2.697846,CDS1,0.0,1.6854165
2482,RPL38,0.0,0.17017266,CNTN5,0.0,2.8234828
2483,FAM129C,0.0,3.4394808,PPFIA4,0.0,2.2886405
2484,DMRT2,0.0,1.4187039,FKBP2,0.0,0.28619412
2485,TXNL4B,0.0,0.97581166,SCAMP1,0.0,0.49838796
2486,IGFBP6,0.0,0.5973017,PGGT1B,0.0,0.64849377
2487,KCNK2,0.0,1.3620989,RAB38,0.0,0.73192334
2488,METTL21A,0.0,0.628028,RALGAPA1,0.0,0.48284575
2489,EGR3,0.0,0.7615025,AC104532.2,0.0,7.604132
2490,PCDHB7,0.0,3.3039024,ECI2,0.0,0.3776819
2491,VWCE,0.0,1.563159,ARMCX1,0.0,0.38709766
2492,LAX1,0.0,4.856157,FAM83H,0.0,2.4230168
2493,IGF2BP1,0.0,0.75800204,CCDC115,0.0,0.4611162
2494,PLK1,0.0,1.3413397,NEK5,0.0,2.0523555
2495,GATA1,0.0,23.929398,ANKRD13A,0.0,0.7660678
2496,B3GNTL1,0.0,1.3189781,ADGRB3,0.0,1.2653939
2497,SLC2A8,0.0,0.83753103,SP9,0.0,1.753853
2498,WIF1,0.0,0.5761077,ETFDH,0.0,0.63544255
2499,ATF4,0.0,0.29244316,NAA10,0.0,0.42238617
2500,TGM2,0.0,2.600876,MBTD1,0.0,0.7828998
2501,TMEM144,0.0,2.2841563,CCT3,0.0,0.2757554
2502,MAP1LC3C,0.0,3.842204,PTCD3,0.0,0.5631117
2503,TSTA3,0.0,0.5208405,PPP1R1A,0.0,2.3032734
2504,DNAJC11,0.0,0.82726514,MICU3,0.0,0.6948284
2505,B3GNT2,0.0,0.7823215,SETMAR,0.0,0.96644527
2506,NCEH1,0.0,2.7546873,SMIM10L2B,0.0,2.5053968
2507,TKTL1,0.0,5.2377734,RMND5A,0.0,0.6715249
2508,TES,0.0,0.6326838,SBK1,0.0,1.5318542
2509,FAM118B,0.0,0.7848778,DIO3,0.0,1.4555424
2510,NDUFB6,0.0,0.32433197,IGFL2,0.0,3.398964
2511,CDC42SE1,0.0,0.5223712,RANBP9,0.0,0.64313495
2512,C1QTNF1,0.0,0.952868,ASCC3,0.0,0.53345203
2513,AC017002.2,0.0,23.262766,DZIP1,0.0,0.74605566
2514,PDIA5,0.0,0.7294367,CISD1,0.0,0.45181826
2515,GALC,0.0,0.7600597,FZD8,0.0,1.633996
2516,SEPT1,0.0,0.7746497,NLGN4Y,0.0,1.7759688
2517,LRP1,0.0,0.37457904,ZNF280B,0.0,1.3947796
2518,DEDD2,0.0,0.710418,PCDHA4,0.0,3.3970149
2519,TLR6,0.0,2.933548,PDCD5,0.0,0.28274548
2520,COCH,0.0,1.4302267,MADCAM1,0.0,1.645703
2521,KCTD13,0.0,0.9845339,TMEM47,0.0,0.69813037
2522,HLA-DOA,0.0,2.9004624,UNC5B-AS1,0.0,3.1290205
2523,GPR89A,0.0,1.0606146,DUSP14,0.0,0.6544742
2524,VSTM1,0.0,11.767281,TMEM106B,0.0,0.4038001
2525,RPLP2,0.0,0.12396909,ITGB4,1.15904868863374e-309,1.402572
2526,SLAMF1,0.0,10.630135,SNCAIP,1.01816281084187e-309,0.7555017
2527,MBNL1,0.0,0.40823904,GRIN2D,3.307299627679696e-309,2.0248034
2528,NUDT16,0.0,0.5866433,USE1,1.86142395628564e-309,0.437468
2529,TEX30,0.0,0.65520555,ARL6IP4,3.32155490183609e-309,0.23355342
2530,LBX2-AS1,0.0,3.8094504,FAM131C,3.365342719546645e-308,4.6685514
2531,TBX5-AS1,0.0,6.655524,SEMA6A,6.118292507750157e-309,0.46293786
2532,POFUT2,0.0,0.5968713,ZNF675,9.355675823134773e-309,0.88612324
2533,SLC25A32,0.0,0.74817264,KRT71,1.0096782696755404e-307,5.6846404
2534,TLR7,0.0,2.8243966,PTGES,1.8928730510292137e-308,0.74146897
2535,ADAT3,0.0,2.1728551,TRNP1,5.679055423042802e-308,2.055977
2536,CXorf40B,0.0,0.82530284,AADACL2,1.3576996119346231e-307,3.5781229
2537,IFI6,0.0,0.5112312,SAMD5,8.525714890688701e-308,1.1485862
2538,HTATIP2,0.0,1.3230207,CAPS2,1.7136246556240142e-307,2.3058608
2539,PDE1B,0.0,1.6322113,TMEM134,1.1705042599325236e-307,0.39897165
2540,TNFRSF10C,0.0,4.8287926,KIF5C,4.673391183870663e-307,1.9429396
2541,DPPA4,0.0,1.79602,GGT6,1.1006133096856502e-306,4.9167957
2542,RGMA,0.0,0.68984044,MSANTD2,2.7584742419827217e-307,0.88223577
2543,ADPRH,0.0,3.2684443,UBE3A,2.9889924501871236e-307,0.3272335
2544,AMIGO2,0.0,1.6147157,MRPL1,5.152077305164979e-307,0.45332852
2545,NEK9,0.0,0.73762023,FKBP10,6.034860477069184e-307,0.32907328
2546,ABHD5,0.0,0.62467974,DDHD1,1.3256070352834154e-306,0.5993908
2547,GAL3ST4,0.0,0.92907983,CCDC7,2.530990966200777e-306,1.2179747
2548,TJP2,0.0,1.4667697,MAPRE3,3.15502349662252e-306,1.0756238
2549,CYCS,0.0,0.30658773,IREB2,3.2134546046274963e-306,0.4958299
2550,FGF16,0.0,4.677009,ZFX,3.630230406177154e-306,0.51954114
2551,LPL,0.0,1.4578171,ALDH9A1,3.7758488412255085e-306,0.38699448
2552,ADORA3,0.0,8.663568,AKAP1,7.980057607276954e-306,1.1033767
2553,NRGN,0.0,1.9193534,LRP12,8.748611525809081e-306,0.7591774
2554,BATF3,0.0,2.4080114,UQCRC2,8.697447867041564e-306,0.28235197
2555,SLC12A5,0.0,1.2394603,CMTR2,1.2011325099300364e-305,0.64145136
2556,CD200,0.0,0.7634666,FAM129B,1.1758869761174203e-305,0.68809146
2557,TOMM22,0.0,0.3064682,AVIL,3.9899669290407214e-305,1.2741513
2558,RARRES3,0.0,0.76563287,IBTK,4.531785604279707e-305,0.4613785
2559,HERPUD1,0.0,0.3374105,MFSD8,1.8792277741372538e-304,0.89839494
2560,ECE1,0.0,0.8712632,CALY,2.504923944164163e-303,3.6562927
2561,LINC00528,0.0,8.760092,YBEY,4.996133884863681e-304,0.5398256
2562,SGTA,0.0,0.54759115,TTC9,1.985397877465723e-303,1.8731214
2563,DPY19L1,0.0,0.742218,MDK,1.5700840472725485e-303,0.2933215
2564,SPCS3,0.0,0.4267351,CCDC122,6.795590007559049e-303,1.217654
2565,CASS4,0.0,3.288764,MKL2,5.32187416508595e-303,0.65243703
2566,CA8,0.0,2.5233831,WDR45B,4.952720824159618e-303,0.3795108
2567,DGKD,0.0,0.86549795,VPS41,1.5606391653137327e-302,0.56860465
2568,KAT2A,0.0,0.82951087,GMPR2,1.9362313793743987e-302,0.45958063
2569,HIST1H3B,0.0,2.2896132,GRAMD1A,6.926457710141799e-302,0.5682917
2570,APOC1,0.0,0.80998427,BCAM,1.164787853005208e-301,0.6041112
2571,PHOSPHO1,0.0,3.800459,ZBTB20-AS2,2.0901512188506852e-300,3.6440175
2572,APBA3,0.0,0.9913287,TMEM100,1.098269343739046e-300,0.7239145
2573,NBPF26,0.0,1.1260935,FAXC,3.235177642726115e-300,1.8668683
2574,METTL21C,0.0,4.7527223,YJEFN3,5.9248773296869825e-300,1.4195715
2575,MAD1L1,0.0,0.60198945,SEC22A,5.5777620870459333e-300,0.81999904
2576,MED15,0.0,0.6472231,SFRP5,1.6275263317727824e-299,2.9461772
2577,CD300LB,0.0,11.160885,FAF2,4.9579536860036666e-300,0.47159383
2578,RNF31,0.0,2.6299977,RAB11FIP2,6.712898644133881e-300,0.56503516
2579,SHCBP1,0.0,1.3698113,ZNF503-AS2,1.3276436434559763e-299,1.2169801
2580,SERINC1,0.0,0.3518613,FOXN1,1.2476529494602362e-298,4.2768264
2581,DNMBP,0.0,0.962426,EDRF1,2.6250375196048386e-299,0.66662914
2582,TMBIM1,0.0,0.4873297,MEGF6,4.273535211142777e-299,0.5959944
2583,PCSK5,0.0,0.6296126,TTTY14,9.150570926184576e-299,1.8240564
2584,MCAM,0.0,0.83895457,GRIK2,9.90547150291805e-299,1.970532
2585,TXNRD2,0.0,0.88077277,ERBB3,7.495055043044341e-299,1.0517435
2586,IL23R,0.0,5.874117,TCEAL5,6.361908620557757e-298,0.880558
2587,TMEM108,0.0,1.2204341,CELF5,2.233616559202941e-297,2.9120402
2588,TOR1B,0.0,0.8500198,STK19,1.9657473333876298e-297,0.49183628
2589,DLGAP3,0.0,3.063667,TXNDC9,3.1377146618266334e-297,0.50010175
2590,SLC25A25,0.0,0.8172686,AARS,3.547725739573078e-297,0.54974926
2591,ADAMTS14,0.0,1.6528021,TM2D1,3.242929259438529e-297,0.35281262
2592,ARL2BP,0.0,0.39938912,DTX4,7.537708943679459e-297,1.0093218
2593,SLC12A6,0.0,1.134168,CLINT1,5.410734308064494e-297,0.37458435
2594,GGT5,0.0,1.1371334,WNT5B,9.028752415007486e-297,0.8577891
2595,P2RY1,0.0,1.2978297,DDX6,2.1999866723507344e-296,0.33629268
2596,AAMP,0.0,0.38850313,CAMSAP3,1.0728788948590234e-295,3.4841335
2597,CASP8,0.0,1.1740187,RYR2,1.4439498001984092e-295,2.2972317
2598,GPATCH3,0.0,1.0067892,OLMALINC,7.009942147522917e-296,1.132287
2599,IGLC2,0.0,8.535688,KLHL5,8.408799837314629e-296,0.8881911
2600,ALKBH7,0.0,0.27493507,SCUBE1,1.2951430772634757e-295,1.2493654
2601,CEACAM21,0.0,5.3836527,APLN,3.0347384905164546e-295,1.9216305
2602,RBM18,0.0,0.59254044,ANXA4,1.4361847974568286e-295,0.42338136
2603,HDAC10,0.0,0.98660636,BCL2,4.380398394506229e-295,0.63295937
2604,NDRG3,0.0,0.6226389,FKBPL,1.057764352156763e-294,0.8663452
2605,MAP1S,0.0,0.74033123,PCAT6,1.133156815332196e-294,0.8035862
2606,AUH,0.0,0.7611676,ZNF282,6.917409726335002e-294,0.98209673
2607,COA3,0.0,0.33881223,LIN7B,6.493569499951372e-294,0.7435641
2608,HSPA5,0.0,0.27014303,DUSP9,6.3660664066849e-293,4.814433
2609,PTPRK,0.0,0.6205771,ABHD8,1.7016345235191444e-293,0.6470616
2610,FCER2,0.0,6.7151284,FAM83F,1.0189154730148598e-292,3.6602945
2611,NOMO2,0.0,2.340848,MORN4,6.678819791172634e-293,0.9183529
2612,NEU4,0.0,3.9192722,PHKB,1.104500089359413e-292,0.5107345
2613,TM9SF2,0.0,0.38242957,SEC11A,1.130955705609149e-292,0.22312023
2614,RPL12,0.0,0.11819369,THAP6,3.1001168364870975e-292,0.73693955
2615,DNAJC4,0.0,0.38375893,DDX39B,5.854217467119457e-292,0.4622703
2616,IGLL5,0.0,24.39966,SPRN,3.410377811485983e-291,2.437088
2617,ABL2,0.0,0.7063205,FAM229A,7.563015952694277e-291,1.0547551
2618,NUAK2,0.0,2.57284,C17orf75,7.386335271867106e-291,0.6967106
2619,ALDH16A1,0.0,0.73698986,HS3ST3B1,2.266035985201794e-290,1.1682497
2620,ATG7,0.0,0.77366054,SMAD7,3.337661669153457e-290,1.0198354
2621,ZFAND5,0.0,0.3247947,AHCTF1,2.687368112455901e-290,0.5766601
2622,SLC9A8,0.0,1.516664,COPS6,2.426049305223642e-290,0.269733
2623,AL592183.1,0.0,2.271832,GTF2IRD1,4.712643518533853e-290,0.9250391
2624,ATF6B,0.0,0.46769884,PHF20L1,5.114964989403517e-290,0.384381
2625,ALDH3B1,0.0,2.0404012,MBLAC1,8.219633809119014e-289,1.5384544
2626,NSUN5,0.0,0.6579178,NAA35,1.2689995878747107e-288,0.6657781
2627,DDIT4,0.0,0.3490018,PROSER2,2.270428012182533e-288,1.7282591
2628,SCAF4,0.0,0.6644475,HES1,1.2927065747545244e-288,0.4492858
2629,IL23A,0.0,2.4149094,MRFAP1,1.1066630636846268e-288,0.24042584
2630,CRTAM,0.0,3.0269587,GPM6A,4.479950622139058e-288,1.6273438
2631,ST3GAL3,0.0,0.8587708,SERTAD2,1.8835934365985485e-288,0.5275958
2632,AC011043.1,0.0,1.0266454,ASPN,1.693479194427452e-288,0.5181707
2633,DIAPH3,0.0,1.1233728,GOLM1,3.0539912217433563e-288,0.4635831
2634,H2AFJ,0.0,0.35241157,KCNQ2,8.248329743963698e-288,1.4095672
2635,RASA3,0.0,0.9216671,FAM76B,6.117155451623736e-288,0.6417347
2636,MAP3K7CL,0.0,2.3192186,SERPINB2,1.1043615702155631e-287,1.6664711
2637,TAF6,0.0,0.58704245,ARHGAP35,1.1799968669241307e-287,0.60740656
2638,ABLIM1,0.0,0.6734908,CLSTN1,1.890244356847521e-287,0.46470144
2639,TRIM22,0.0,1.0259401,FBXO21,4.140545190749718e-287,0.45341933
2640,SEC23B,0.0,0.67132336,CELF4,1.5766023291682087e-286,1.368297
2641,SLC25A51,0.0,1.1147039,ZNF703,9.499170941480953e-287,0.5519728
2642,P2RY12,0.0,5.582004,ADGRG1,1.1146605712028895e-286,1.0262964
2643,OXNAD1,0.0,0.93567544,YPEL1,1.4937834038640792e-286,1.0284548
2644,BLK,0.0,9.403048,ADPRHL2,1.4015041751098604e-286,0.48688167
2645,NONO,0.0,0.28770223,RPS26,1.4259515495908556e-286,0.14637385
2646,SH2B1,0.0,0.74870515,RASSF7,3.9026331396189993e-286,0.90570444
2647,DENND4A,0.0,0.75762457,RAB40B,1.41682928203884e-284,0.5708792
2648,DENND5A,0.0,0.6508763,CLDN10,1.2584547352064147e-283,2.1722965
2649,LINC00472,0.0,2.5255487,NCOA6,7.947980086396832e-284,0.69462395
2650,HPGD,0.0,1.0449088,SCAF11,8.65643960600166e-284,0.2986391
2651,TUFM,0.0,0.27970633,ABCE1,1.141104413764606e-283,0.38251385
2652,KIF17,0.0,3.2314484,LTC4S,2.1085810096226117e-283,0.6698359
2653,ATG4B,0.0,0.5626285,FOXN3-AS1,9.670601816333044e-283,2.9490628
2654,CD276,0.0,0.47466767,SCPEP1,2.9554215156106783e-283,0.41061008
2655,PCDHAC2,0.0,2.394857,RDH12,2.1307779719285636e-282,5.0559163
2656,PARP14,0.0,0.79514,FANK1,1.1072125942080732e-282,1.8390424
2657,SLC28A1,0.0,6.190875,ELF3,1.7347016738723157e-282,2.824878
2658,CDK5,0.0,0.707688,YIPF6,5.382011289019982e-283,0.4363309
2659,GINS2,0.0,0.7147062,EBF1,6.821587696518957e-283,0.47489503
2660,FAM177A1,0.0,0.38901728,PRRG2,1.4493426239998895e-282,1.8720223
2661,HECTD3,0.0,1.0458286,EMC2,8.607881927083352e-283,0.45084152
2662,CAMK2G,0.0,0.6287167,MYH10,1.2392184455938056e-282,0.35696995
2663,SP2,0.0,0.92620134,ADAMTS6,1.9653022833076524e-282,0.8687719
2664,GATA2,0.0,2.4066815,RUNX1T1,1.718212364327922e-282,0.357646
2665,RAPH1,0.0,0.7576846,KCNJ3,4.761764830686814e-282,2.2173223
2666,FFAR2,0.0,4.941178,UBN1,1.9701259301063535e-282,0.54379493
2667,FCHO1,0.0,2.2608967,NDUFV2,3.002551393522185e-282,0.25022116
