,fetal_skin_n,fetal_skin_p,fetal_skin_l,organoid_n,organoid_p,organoid_l
95,RHOA,0.0,0.9986582,KHDRBS1,0.0,1.1192182
96,WBP1,0.0,4.751332,TAF10,0.0,2.4105618
97,CD53,0.0,15.02303,EDIL3,0.0,2.9067707
98,NR4A2,0.0,2.5204637,VKORC1,0.0,1.4151331
99,POLR2L,0.0,1.1925068,PRH1,0.0,4.963066
100,EEF1G,0.0,4.358583,CD9,0.0,1.5012698
101,GSTM1,0.0,12.265993,MXRA7,0.0,2.7224705
102,RNASE1,0.0,7.947778,ENAH,0.0,1.910291
103,ALOX5AP,0.0,10.606435,SAP30,0.0,3.5544195
104,PPDPF,0.0,0.97071123,PTEN,0.0,1.5975721
105,GPSM3,0.0,3.5497901,FGFR2,0.0,2.641424
106,CXCL8,0.0,6.866262,PTH1R,0.0,2.0003648
107,SNHG9,0.0,2.2060754,RPS5,0.0,0.4899915
108,RAC2,0.0,4.187787,PSMA1,0.0,1.1904436
109,CTSB,0.0,1.6998678,FST,0.0,2.4976022
110,VIM-AS1,0.0,3.7490587,COPZ2,0.0,2.0848162
111,CTSC,0.0,1.6967773,ID4,0.0,2.8835971
112,CD36,0.0,4.9853983,SOX6,0.0,4.0478806
113,HSP90AA1,0.0,1.0331775,CCDC144NL-AS1,0.0,5.2517858
114,AKAP12,0.0,1.7787712,PSIP1,0.0,1.3720394
115,RBP1,0.0,2.4439037,BCL7C,0.0,1.6575227
116,DUSP1,0.0,1.4288058,RPL11,0.0,0.37451634
117,WAS,0.0,7.660076,KRT17,0.0,4.012405
118,PLEK,0.0,10.569075,TRIP11,0.0,1.6958768
119,HLA-C,0.0,1.8792064,HRAS,0.0,2.9065795
120,CREM,0.0,2.0715854,TSR3,0.0,2.5091994
121,ICAM1,0.0,4.6445413,RPL7A,0.0,0.46482953
122,GSTM2,0.0,2.26868,GJA1,0.0,1.7090057
123,COX16,0.0,2.3193984,TRPS1,0.0,1.9711857
124,CXCL2,0.0,4.8792553,N4BP2L2,0.0,1.0254444
125,CD14,0.0,7.989091,PHLDA3,0.0,2.6370637
126,TNFRSF1B,0.0,6.1110325,SSBP4,0.0,1.8471929
127,KRTCAP2,0.0,1.3368164,RPS3A,0.0,0.3944916
128,GPR183,0.0,8.9187155,MT-CYB,0.0,0.7853856
129,HSPH1,0.0,1.9778858,RPS16,0.0,0.46192494
130,MYC,0.0,2.3625913,KCMF1,0.0,2.2754912
131,ARRB2,0.0,2.9216042,ZFPM1,0.0,5.451482
132,CD52,0.0,7.2810683,IGFBP5,0.0,1.4042617
133,SPON2,0.0,2.4553554,CSRP2,0.0,1.8189104
134,SOD2,0.0,2.1512887,EIF3B,0.0,1.743464
135,C1QA,0.0,10.951209,ANKRD11,0.0,1.3022829
136,LIMD2,0.0,2.1368127,VEGFA,0.0,2.0410419
137,PSMA6,0.0,2.1611445,COPRS,0.0,2.1389656
138,GLIPR1,0.0,4.6294003,PSD,0.0,4.202109
139,IFITM1,0.0,3.2732348,ECI1,0.0,2.9051487
140,AIF1,0.0,2.259122,KRT10,0.0,1.1013477
141,HMGB2,0.0,1.5865473,METRN,0.0,3.4254649
142,SGK1,0.0,2.7264202,ACBD3,0.0,1.7295009
143,SOCS3,0.0,1.7087208,S100A14,0.0,4.686388
144,GRN,0.0,1.3036419,CEBPB,0.0,1.684959
145,ISLR,0.0,1.8605236,NLRP1,0.0,1.8952132
146,HOXC6,0.0,6.5741534,SLC9A3R2,0.0,2.69487
147,CSF1R,0.0,10.313401,SERTAD4,0.0,2.9180717
148,BRD2,0.0,1.3151076,CENPV,0.0,2.2615554
149,SPP1,0.0,6.20842,RPS3,0.0,0.39065197
150,SPI1,0.0,5.3387794,STUB1,0.0,1.2788241
151,CYBB,0.0,10.671161,BRD7,0.0,1.9467714
152,MIF,0.0,1.0060184,CDKN1C,0.0,1.4583157
153,TGFBI,0.0,1.6265142,NOL3,0.0,3.5681226
154,MS4A6A,0.0,7.621878,SLC2A4RG,0.0,1.5949782
155,C1QC,0.0,13.108144,PNISR,0.0,0.8645893
156,CCL4L2,0.0,9.575078,RCN2,0.0,1.0691397
157,GLUL,0.0,1.4260106,DST,0.0,1.516461
158,PID1,0.0,2.659328,C6orf48,0.0,0.9345836
159,NDUFA3,0.0,1.1994684,BLOC1S4,0.0,2.3648984
160,MAP3K8,0.0,2.7959356,MZT2A,0.0,1.009799
161,EMD,0.0,1.4685962,RPS12,0.0,0.3646141
162,HCLS1,0.0,6.5071864,ODC1,0.0,1.6403235
163,RAB11B,0.0,1.347959,PTOV1,0.0,1.4796956
164,RETN,0.0,13.549608,ZBTB20,0.0,2.006251
165,CD248,0.0,1.5675031,R3HDM2,0.0,1.9512979
166,UQCR11,0.0,1.0146146,MIR210HG,0.0,3.371661
167,RPS17,0.0,1.5469488,PURA,0.0,2.137393
168,STAB1,0.0,8.532217,NR2F6,0.0,2.394104
169,IL1B,0.0,7.956789,CSNK2B,0.0,1.0992799
170,CD68,0.0,3.4295082,EMID1,0.0,3.108206
171,CTSS,0.0,3.633448,PHGDH,0.0,1.2221314
172,FOLR2,0.0,12.628399,PNRC1,0.0,0.86223984
173,RPN1,0.0,1.4732665,PHPT1,0.0,0.7975935
174,HMGN4,0.0,3.4983099,CTDSPL,0.0,2.0798004
175,LYVE1,0.0,8.166739,IL11RA,0.0,1.2188804
176,CLK1,0.0,1.3968711,CAMK2N1,0.0,2.8629923
177,PLAUR,0.0,3.3861768,MXD4,0.0,1.8856089
178,SRSF2,0.0,1.0669072,MXI1,0.0,2.0175471
179,HLA-DRA,0.0,7.4698358,MAZ,0.0,1.3688304
180,MRPS24,0.0,4.586687,COMMD3,0.0,1.535932
181,HNRNPA1L2,0.0,3.401049,TBL1XR1,0.0,1.352499
182,MYL9,0.0,2.0434415,KRT5,0.0,4.497839
183,CITED2,0.0,1.8286637,MIA2,0.0,11.963018
184,LCP2,0.0,8.188393,CUL3,0.0,1.655058
185,PSMB10,0.0,2.6347647,PCAT7,0.0,7.1631193
186,CTSZ,0.0,2.1132622,S100A16,0.0,1.595981
187,CYTIP,0.0,10.62414,SPATS2L,0.0,1.2206464
188,DIABLO,0.0,3.9004009,CRNDE,0.0,1.7983167
189,C1QB,0.0,11.327727,EIF3E,0.0,0.64510995
190,RHOG,0.0,1.7550306,CNPY2,0.0,1.3353951
191,RAB24,0.0,3.1568708,HSP90AB1,0.0,0.5421361
192,PSAP,0.0,1.0432327,SPCS2,0.0,0.81916326
193,CD48,0.0,10.494799,BARX1,0.0,10.264334
194,DAB2,0.0,1.6844653,YBX1,0.0,0.62132317
195,GNG2,0.0,1.9573958,BPTF,0.0,1.0892696
196,ARHGAP4,0.0,3.9349167,RAB13,0.0,0.9393151
197,SAMSN1,0.0,9.420594,SSU72,0.0,1.2260871
198,HSPB1,0.0,1.0350668,TRIM2,0.0,1.8047206
199,TNXB,0.0,3.2489805,SFN,0.0,4.9557223
200,IL2RG,0.0,9.68691,RPL8,0.0,0.3536933
201,CCNL1,0.0,1.0686185,STARD10,0.0,2.4492369
202,PET100,0.0,1.3007953,ITGB5,0.0,1.9593977
203,CRIP1,0.0,2.8730042,PTGDS,0.0,2.7508981
204,SDCBP,0.0,1.0408705,ADNP,0.0,1.556916
205,PLTP,0.0,1.6333287,BTBD6,0.0,2.7504373
206,DAZAP2,0.0,1.3014747,PCDHB2,0.0,2.9161894
207,C1QTNF4,0.0,2.3833563,MT-ND1,0.0,0.63025737
208,HLA-A,0.0,1.2235546,WNT5A,0.0,2.3911953
209,STK17B,0.0,3.0106144,NXPH4,0.0,4.6241584
210,RNASE6,0.0,10.0781355,COL1A2,0.0,1.2531685
211,NCF4,0.0,9.875097,ENO1,0.0,0.8900751
212,TNF,0.0,5.1227818,RPS24,0.0,0.33999678
213,IRF8,0.0,8.431891,PCDHGB6,0.0,4.0110226
214,FBLN5,0.0,1.9509753,ENDOG,0.0,3.362969
215,MRC1,0.0,9.976119,NUCKS1,0.0,0.75950485
